"","x"
"1",1.19618835741341
"2",1.16417246262502
"3",1.16186410028873
"4",1.24048998011595
"5",1.18933365421317
"6",1.13149340690731
"7",1.06731463324914
"8",1.10307560321989
"9",1.09753384204292
"10",1.1056528730136
"11",1.10319233837762
"12",1.14320277984926
"13",1.10941484471985
"14",1.05557746628989
"15",1.07886798828375
"16",1.06901659489562
"17",1.06412508074477
"18",1.06771558134598
"19",1.05941179021684
"20",1.00779210540646
"21",1.0118707627922
"22",1.01244938770723
"23",0.981741240241019
"24",1.0088083135598
"25",0.97513654214669
"26",0.992403488661511
"27",0.971669911074006
"28",0.971189951505151
"29",0.922150687276977
"30",0.902475693085516
"31",0.9063756834636
"32",0.9077902677021
"33",0.889443557386638
"34",0.904141837272117
"35",0.936412846704591
"36",0.886569121433349
"37",0.878193797985318
"38",0.894728041960831
"39",0.896952045486063
"40",0.8995260627827
"41",0.922677610677108
"42",0.901320723311095
"43",0.873919582442098
"44",0.850774229667671
"45",0.836235570132706
"46",0.843591156559182
"47",0.833395069700085
"48",0.866161871396906
"49",0.828819368691913
"50",0.791952470801442
"51",0.805985332942438
"52",0.801031029541379
"53",0.787940144220438
"54",0.802604954077367
"55",0.811640936076092
"56",0.829886017945965
"57",0.824107506863495
"58",0.810015156582706
"59",0.848077344301242
"60",0.837528133035351
"61",0.791887577371454
"62",0.750960283276629
"63",0.792910707712934
"64",0.771209342792761
"65",0.776748096354157
"66",0.824960442073133
"67",0.783902941672706
"68",0.797558120210551
"69",0.781468765905719
"70",0.788151225996329
"71",0.765206205898142
"72",0.766342817553206
"73",0.754567920471739
"74",0.745789125137447
"75",0.74315294087992
"76",0.797514745346839
"77",0.803396015061254
"78",0.766173647970761
"79",0.737516819651051
"80",0.702432343806347
"81",0.732907715322589
"82",0.734162079521107
"83",0.762013518278139
"84",0.773000249113541
"85",0.786725906587833
"86",0.737874630233426
"87",0.762366116269019
"88",0.76579371186202
"89",0.755322035304502
"90",0.749445817676006
"91",0.767015770410093
"92",0.778646490540073
"93",0.808605241568066
"94",0.774864357018094
"95",0.773571108558463
"96",0.784106030696455
"97",0.789146595174195
"98",0.76728617703993
"99",0.774388525959084
"100",0.79844510154995
"101",0.769384487698731
"102",0.802955480405152
"103",0.839266925356619
"104",0.837259056973759
"105",0.816804290723881
"106",0.817938241904276
"107",0.836217921575607
"108",0.846458069278792
"109",0.846632151854899
"110",0.832633048476778
"111",0.83243482925801
"112",0.796751262644536
"113",0.814686839865621
"114",0.818604376261455
"115",0.823049489561608
"116",0.79225854396822
"117",0.816889782026128
"118",0.855595842619492
"119",0.849477599766802
"120",0.885956410731078
"121",0.892344810445829
"122",0.862132847329014
"123",0.864441190186925
"124",0.887109225799413
"125",0.902409982599518
"126",0.885759674204007
"127",0.841533293222753
"128",0.867422792741042
"129",0.886067049040989
"130",0.896193290695396
"131",0.890528505967726
"132",0.930507148960045
"133",0.91045119451613
"134",0.887676981264754
"135",0.836924923482133
"136",0.865252546067384
"137",0.877514126524412
"138",0.890952234402807
"139",0.929941962453671
"140",0.920096129953538
"141",0.944458941636771
"142",0.944181188494902
"143",0.943935061129714
"144",0.939822656746247
"145",0.955126998941014
"146",0.964996827820371
"147",0.965319175311741
"148",0.958115673613189
"149",0.919129890643842
"150",0.955115442335123
"151",0.987955274082035
"152",0.902080866838154
"153",0.892495791335571
"154",0.930590203798923
"155",0.922900966841556
"156",0.951529597542213
"157",0.936788048729719
"158",0.912109840144963
"159",0.922909975662394
"160",0.921285568306555
"161",0.940409844317027
"162",1.01103997306232
"163",1.06108763102414
"164",1.00365621778435
"165",1.01364526242963
"166",1.04277955656744
