"1",1,116.032883,-31.7567,"BDW_000_005_EV_N_P_AU_NAT_C_20140801",1.39787709712982,10.7474813461304,3.01881504058838,80.7922439575195
"2",1,116.032883,-31.7567,"BDW_005_015_EV_N_P_AU_NAT_C_20140801",1.4242787361145,12.4121074676514,3.67202591896057,78.4235229492188
"3",1,116.032883,-31.7567,"BDW_015_030_EV_N_P_AU_NAT_C_20140801",1.46720480918884,15.5644216537476,4.33494758605957,75.2684783935547
"4",1,116.032883,-31.7567,"BDW_030_060_EV_N_P_AU_NAT_C_20140801",1.45602130889893,21.4757347106934,5.25405931472778,69.9959716796875
"5",1,116.032883,-31.7567,"BDW_060_100_EV_N_P_AU_NAT_C_20140801",1.48230707645416,26.1532936096191,6.38807535171509,63.5268707275391
"6",1,116.032883,-31.7567,"BDW_100_200_EV_N_P_AU_NAT_C_20140801",1.51336145401001,27.8208293914795,6.92010164260864,62.9276390075684
"1",1,116.032883,-31.7567,"BDW_000_005_EV_N_P_AU_NAT_C_20140801",1.39787709712982,10.7474813461304,3.01881504058838,80.7922439575195
"2",1,116.032883,-31.7567,"BDW_005_015_EV_N_P_AU_NAT_C_20140801",1.4242787361145,12.4121074676514,3.67202591896057,78.4235229492188
"3",1,116.032883,-31.7567,"BDW_015_030_EV_N_P_AU_NAT_C_20140801",1.46720480918884,15.5644216537476,4.33494758605957,75.2684783935547
"4",1,116.032883,-31.7567,"BDW_030_060_EV_N_P_AU_NAT_C_20140801",1.45602130889893,21.4757347106934,5.25405931472778,69.9959716796875
"5",1,116.032883,-31.7567,"BDW_060_100_EV_N_P_AU_NAT_C_20140801",1.48230707645416,26.1532936096191,6.38807535171509,63.5268707275391
"6",1,116.032883,-31.7567,"BDW_100_200_EV_N_P_AU_NAT_C_20140801",1.51336145401001,27.8208293914795,6.92010164260864,62.9276390075684
