d,TC
899,1.065181803
900,1.040326163
901,1.076255175
902,1.06928023
903,1.072806987
904,1.117574668
905,1.081899576
906,1.067120292
907,1.082885097
908,1.114034522
909,1.174491834
910,1.150105606
911,1.141626577
912,1.145802635
913,1.108671452
914,1.20213606
915,1.055911185
916,1.001180042
917,1.016599398
918,1.051839372
919,1.03017156
920,1.100187009
921,1.09968177
922,1.10624221
923,1.113066448
924,1.138265468
925,1.147544219
926,1.123300631
927,1.040426112
928,1.107301232
929,1.054274629
930,0.999187324
931,0.985883462
932,0.980243468
933,1.067158921
934,1.084063034
935,1.104084049
936,1.092136388
937,1.103543085
938,1.111480107
939,1.141012516
940,1.168561278
941,1.23855138
942,1.168754899
943,1.079736197
944,1.121072989
945,1.163905845
946,1.217139741
947,1.263737298
948,1.311655028
949,1.2258431
950,1.149449086
951,1.190330574
952,1.204847385
953,1.022013311
954,1.098835108
955,1.128278156
956,1.166038992
957,1.164206786
958,1.209313822
959,1.242062963
960,1.181410852
961,1.190828983
962,1.161501032
963,1.214638498
964,1.285428945
965,1.275139994
966,1.241654731
967,1.260880261
968,1.298759387
969,1.320068845
970,1.320293738
971,1.323570373
972,1.288238793
973,1.225042348
974,1.254354988
975,1.183935061
976,1.303117829
977,1.321855065
978,1.320345989
979,1.356138627
980,1.410636787
981,1.33579564
982,1.410165542
983,1.525265911
984,1.498534067
985,1.496315217
986,1.579990306
987,1.53156734
988,1.583029928
989,1.534336337
990,1.51421654
991,1.529812501
992,1.499014972
993,1.4523045
994,1.390313752
995,1.342537099
996,1.415812634
997,1.559049594
998,1.533347966
999,1.618323507
1000,1.612948643
1001,1.394933258
1002,1.36225945
1003,1.473943014
1004,1.502770843
1005,1.533401781
1006,1.54459541
1007,1.52330003
1008,1.440942358
1009,1.480723639
1010,1.419252138
1011,1.363032769
1012,1.454432682
1013,1.39741582
1014,1.567283535
1015,1.481622872
1016,1.618793112
1017,1.550400258
1018,1.383788906
1019,1.283351614
1020,1.358893394
1021,1.38424144
1022,1.260377128
1023,1.286411625
1024,1.363771882
1025,1.444531691
1026,1.408619501
1027,1.473359574
1028,1.53807592
1029,1.485022487
1030,1.393865248
1031,1.450083278
1032,1.496651031
1033,1.424660309
1034,1.374053233
1035,1.410338187
1036,1.431684109
1037,1.469521658
1038,1.536245372
1039,1.496307146
1040,1.400983494
1041,1.387418211
1042,1.367158844
1043,1.39967662
1044,1.425084265
1045,1.452489153
1046,1.45941321
1047,1.465098365
1048,1.454878928
1049,1.358264994
1050,1.376865239
1051,1.380137106
1052,1.381321173
1053,1.39376906
1054,1.418369279
1055,1.350789068
1056,1.205133582
1057,1.279415464
1058,1.108021174
1059,1.207468413
1060,1.352277549
1061,1.413864056
1062,1.436413234
1063,1.422258801
1064,1.320675996
1065,1.199443958
1066,1.141348437
1067,1.182061174
1068,1.244546618
1069,1.224008727
1070,1.091131008
1071,1.142597596
1072,1.183334884
1073,1.247260385
1074,1.241795804
1075,1.168029176
1076,1.264614252
1077,1.228546035
1078,1.253353971
1079,1.326264464
1080,1.279137655
1081,1.153089858
1082,1.241950679
1083,1.17718443
1084,1.134394456
1085,1.280760477
1086,1.27864779
1087,1.131810756
1088,1.107270055
1089,1.154439679
1090,1.224458949
1091,1.270423423
1092,1.180265256
1093,1.163144257
1094,1.094765653
1095,0.924304148
1096,0.856963644
1097,0.975681986
1098,1.044404692
1099,1.075418077
1100,1.083660782
1101,1.113410946
1102,1.094333797
1103,1.045320511
1104,0.896283431
1105,0.890752584
1106,0.846807871
1107,0.925355492
1108,0.998306109
1109,0.916837307
1110,0.923826316
1111,0.865815993
1112,0.891972693
1113,0.902388142
1114,0.832917563
1115,0.816125639
1116,0.865313665
1117,0.853661299
1118,0.834331967
1119,0.816919291
1120,0.787720559
1121,0.806271016
1122,0.749163245
1123,0.722170779
1124,0.778152827
1125,0.796138551
1126,0.755067128
1127,0.711150041
1128,0.711044937
1129,0.718016626
1130,0.79030075
1131,0.809571936
1132,0.834193425
1133,0.781216651
1134,0.783794888
1135,0.795652758
1136,0.765774327
1137,0.77418405
1138,0.871544111
1139,0.899079097
1140,0.87388878
1141,0.850741832
1142,0.836199247
1143,0.841762729
1144,0.832534271
1145,0.866368933
1146,0.828802745
1147,0.791946032
1148,0.805975382
1149,0.801024362
1150,0.787935274
1151,0.802593088
1152,0.811633796
1153,0.829878221
1154,0.824098899
1155,0.81001051
1156,0.848070597
1157,0.837524508
1158,0.791884181
1159,0.75095977
1160,0.792911488
1161,0.771211116
1162,0.776749852
1163,0.824967007
1164,0.783906694
1165,0.797566322
1166,0.78147517
1167,0.788164397
1168,0.765213803
1169,0.766349834
1170,0.75457941
1171,0.745806561
1172,0.743165383
1173,0.79753721
1174,0.803423647
1175,0.766193205
1176,0.739104446
1177,0.703274245
1178,0.73281955
1179,0.734200857
1180,0.762056987
1181,0.773019821
1182,0.78676832
1183,0.737900939
1184,0.762406496
1185,0.765842256
1186,0.755359953
1187,0.749498957
1188,0.76707182
1189,0.778683358
1190,0.80865612
1191,0.774913816
1192,0.773625539
1193,0.784168559
1194,0.78920196
1195,0.767327366
1196,0.774456688
1197,0.798529206
1198,0.769438044
1199,0.803008346
1200,0.839353511
1201,0.837350353
1202,0.816887404
1203,0.818009651
1204,0.836292469
1205,0.846535805
1206,0.846738462
1207,0.832746101
1208,0.832567774
1209,0.796825977
1210,0.814799241
1211,0.818706264
1212,0.823149968
1213,0.792340686
1214,0.817001158
1215,0.855751853
1216,0.849616183
1217,0.886129158
1218,0.892483053
1219,0.862271467
1220,0.86459333
1221,0.887256073
1222,0.902573981
1223,0.885932722
1224,0.841615417
1225,0.867552861
1226,0.886248338
1227,0.896377999
1228,0.890660043
1229,0.930684942
1230,0.910581691
1231,0.88778917
1232,0.837059543
1233,0.865436936
1234,0.877692311
1235,0.891112788
1236,0.930177123
1237,0.920278299
1238,0.944643546
1239,0.944375907
1240,0.944166465
1241,0.940034563
1242,0.95530233
1243,0.965163196
1244,0.965492701
1245,0.958318744
1246,0.919247106
1247,0.955269261
1248,0.988164543
1249,0.902192594
1250,0.892626796
1251,0.930794517
1252,0.923082383
1253,0.956367178
1254,0.94056448
1255,0.912135833
1256,0.923174221
1257,0.92153455
1258,0.940677401
1259,1.011359961
1260,1.061411658
1261,1.003864709
1262,1.013917674
1263,1.043107362
1264,1.065181803
1265,1.040326163
1266,1.076255175
1267,1.06928023
1268,1.072806987
1269,1.117574668
1270,1.081899576
1271,1.067120292
1272,1.082885097
1273,1.114034522
1274,1.174491834
1275,1.150105606
1276,1.141626577
1277,1.145802635
1278,1.108671452
1279,1.20213606
1280,1.055911185
1281,1.001180042
1282,1.016599398
1283,1.051839372
1284,1.03017156
1285,1.100187009
1286,1.09968177
1287,1.10624221
1288,1.113066448
1289,1.138265468
1290,1.147544219
1291,1.123300631
1292,1.040426112
1293,1.107301232
1294,1.054274629
1295,0.999187324
1296,0.985883462
1297,0.980243468
1298,1.067158921
1299,1.084063034
1300,1.104084049
1301,1.092136388
1302,1.103543085
1303,1.111480107
1304,1.141012516
1305,1.168561278
1306,1.23855138
1307,1.168754899
1308,1.079736197
1309,1.121072989
1310,1.163905845
1311,1.217139741
1312,1.263737298
1313,1.311655028
1314,1.2258431
1315,1.149449086
1316,1.190330574
1317,1.204847385
1318,1.022013311
1319,1.098835108
1320,1.128278156
1321,1.166038992
1322,1.164206786
1323,1.209313822
1324,1.242062963
1325,1.181410852
1326,1.190828983
1327,1.161501032
1328,1.214638498
1329,1.285428945
1330,1.275139994
1331,1.241654731
1332,1.260880261
1333,1.298759387
1334,1.320068845
1335,1.320293738
1336,1.323570373
1337,1.288238793
1338,1.225042348
1339,1.254354988
1340,1.183935061
1341,1.303117829
1342,1.321855065
1343,1.320345989
1344,1.356138627
1345,1.410636787
1346,1.33579564
1347,1.410165542
1348,1.525265911
1349,1.498534067
1350,1.496315217
1351,1.579990306
1352,1.53156734
1353,1.583029928
1354,1.534336337
1355,1.51421654
1356,1.529812501
1357,1.499014972
1358,1.4523045
1359,1.390313752
1360,1.342537099
1361,1.415812634
1362,1.559049594
1363,1.533347966
1364,1.618323507
1365,1.612948643
1366,1.394933258
1367,1.36225945
1368,1.473943014
1369,1.502770843
1370,1.533401781
1371,1.54459541
1372,1.52330003
1373,1.440942358
1374,1.480723639
1375,1.419252138
1376,1.363032769
1377,1.454432682
1378,1.39741582
1379,1.567283535
1380,1.481622872
1381,1.618793112
1382,1.550400258
1383,1.383788906
1384,1.283351614
1385,1.358893394
1386,1.38424144
1387,1.260377128
1388,1.286411625
1389,1.363771882
1390,1.444531691
1391,1.408619501
1392,1.473359574
1393,1.53807592
1394,1.485022487
1395,1.393865248
1396,1.450083278
1397,1.496651031
1398,1.424660309
1399,1.374053233
1400,1.410338187
1401,1.431684109
1402,1.469521658
1403,1.536245372
1404,1.496307146
1405,1.400983494
1406,1.387418211
1407,1.367158844
1408,1.39967662
1409,1.425084265
1410,1.452489153
1411,1.45941321
1412,1.465098365
1413,1.454878928
1414,1.358264994
1415,1.376865239
1416,1.380137106
1417,1.381321173
1418,1.39376906
1419,1.418369279
1420,1.350789068
1421,1.205133582
1422,1.279415464
1423,1.108021174
1424,1.207468413
1425,1.352277549
1426,1.413864056
1427,1.436413234
1428,1.422258801
1429,1.320675996
1430,1.199443958
1431,1.141348437
1432,1.182061174
1433,1.244546618
1434,1.224008727
1435,1.091131008
1436,1.142597596
1437,1.183334884
1438,1.247260385
1439,1.241795804
1440,1.168029176
1441,1.264614252
1442,1.228546035
1443,1.253353971
1444,1.326264464
1445,1.279137655
1446,1.153089858
1447,1.241950679
1448,1.17718443
1449,1.134394456
1450,1.280760477
1451,1.27864779
1452,1.131810756
1453,1.107270055
1454,1.154439679
1455,1.224458949
1456,1.270423423
1457,1.180265256
1458,1.163144257
1459,1.094765653
1460,0.924304148
1461,0.856963644
1462,0.975681986
1463,1.044404692
1464,1.075418077
1465,1.083660782
1466,1.113410946
1467,1.094333797
1468,1.045320511
1469,0.896283431
1470,0.890752584
1471,0.846807871
1472,0.925355492
1473,0.998306109
1474,0.916837307
1475,0.923826316
1476,0.865815993
1477,0.891972693
1478,0.902388142
1479,0.832917563
1480,0.816125639
1481,0.865313665
1482,0.853661299
1483,0.834331967
1484,0.816919291
1485,0.787720559
1486,0.806271016
1487,0.749163245
1488,0.722170779
1489,0.778152827
1490,0.796138551
1491,0.755067128
1492,0.711150041
1493,0.711044937
1494,0.718016626
1495,0.79030075
1496,0.809571936
1497,0.834193425
1498,0.781216651
1499,0.783794888
1500,0.795652758
1501,0.765774327
1502,0.77418405
1503,0.871544111
1504,0.899079097
1505,0.87388878
1506,0.850741832
1507,0.836199247
1508,0.841762729
1509,0.832534271
1510,0.866368933
1511,0.828802745
1512,0.791946032
1513,0.805975382
1514,0.801024362
1515,0.787935274
1516,0.802593088
1517,0.811633796
1518,0.829878221
1519,0.824098899
1520,0.81001051
1521,0.848070597
1522,0.837524508
1523,0.791884181
1524,0.75095977
1525,0.792911488
1526,0.771211116
1527,0.776749852
1528,0.824967007
1529,0.783906694
1530,0.797566322
1531,0.78147517
1532,0.788164397
1533,0.765213803
1534,0.766349834
1535,0.75457941
1536,0.745806561
1537,0.743165383
1538,0.79753721
1539,0.803423647
1540,0.766193205
1541,0.739104446
1542,0.703274245
1543,0.73281955
1544,0.734200857
1545,0.762056987
1546,0.773019821
1547,0.78676832
1548,0.737900939
1549,0.762406496
1550,0.765842256
1551,0.755359953
1552,0.749498957
1553,0.76707182
1554,0.778683358
1555,0.80865612
1556,0.774913816
1557,0.773625539
1558,0.784168559
1559,0.78920196
1560,0.767327366
1561,0.774456688
1562,0.798529206
1563,0.769438044
1564,0.803008346
1565,0.839353511
1566,0.837350353
1567,0.816887404
1568,0.818009651
1569,0.836292469
1570,0.846535805
1571,0.846738462
1572,0.832746101
1573,0.832567774
1574,0.796825977
1575,0.814799241
1576,0.818706264
1577,0.823149968
1578,0.792340686
1579,0.817001158
1580,0.855751853
1581,0.849616183
1582,0.886129158
1583,0.892483053
1584,0.862271467
1585,0.86459333
1586,0.887256073
1587,0.902573981
1588,0.885932722
1589,0.841615417
1590,0.867552861
1591,0.886248338
1592,0.896377999
1593,0.890660043
1594,0.930684942
1595,0.910581691
1596,0.88778917
1597,0.837059543
1598,0.865436936
1599,0.877692311
1600,0.891112788
1601,0.930177123
1602,0.920278299
1603,0.944643546
1604,0.944375907
1605,0.944166465
1606,0.940034563
1607,0.95530233
1608,0.965163196
1609,0.965492701
1610,0.958318744
1611,0.919247106
1612,0.955269261
1613,0.988164543
1614,0.902192594
1615,0.892626796
1616,0.930794517
1617,0.923082383
1618,0.956367178
1619,0.94056448
1620,0.912135833
1621,0.923174221
1622,0.92153455
1623,0.940677401
1624,1.011359961
1625,1.061411658
1626,1.003864709
1627,1.013917674
1628,1.043107362
1629,1.065181803
1630,1.040326163
1631,1.076255175
1632,1.06928023
1633,1.072806987
1634,1.117574668
1635,1.081899576
1636,1.067120292
1637,1.082885097
1638,1.114034522
1639,1.174491834
1640,1.150105606
1641,1.141626577
1642,1.145802635
1643,1.108671452
1644,1.20213606
1645,1.055911185
1646,1.001180042
1647,1.016599398
1648,1.051839372
1649,1.03017156
1650,1.100187009
1651,1.09968177
1652,1.10624221
1653,1.113066448
1654,1.138265468
1655,1.147544219
1656,1.123300631
1657,1.040426112
1658,1.107301232
1659,1.054274629
1660,0.999187324
1661,0.985883462
1662,0.980243468
1663,1.067158921
1664,1.084063034
