"","ID","Date","Mass","Length","Loc"
"195",173,1995-11-17,233,114.2,"EB"
"196",173,2000-10-28,269,117.2,"EB"
"197",173,2001-11-14,261,117.2,"EB"
"198",173,2003-11-10,266,118.2,"EB"
"199",173,2004-06-14,249,118.2,"EB"
"201",173,2006-07-29,247,118,"EB"
"202",173,2006-09-29,246,117.6,"EB"
"203",173,2008-11-18,254,117.6,"EB"
"204",174,1986-11-12,105,87.45,"EB"
"205",174,1987-11-02,126,94.7,"EB"
"206",174,1989-11-07,187,106.2,"EB"
"207",174,1990-11-13,195,110.8,"EB"
"208",174,1992-06-11,212,116,"EB"
"209",174,1992-10-30,219,116.7,"EB"
"210",174,1998-11-11,272,123.7,"EB"
"211",174,2001-11-26,263,125.3,"EB"
"212",174,2004-06-13,274,126.8,"EB"
"213",176,1988-09-12,280,121.3,"EB"
"214",176,1999-09-21,282.9,122.5,"EB"
"215",176,2006-11-10,313,124.3,"EB"
"216",180,1989-11-07,56,67.2,"EB"
"217",180,1990-02-01,56,67.2,"EB"
"218",180,1992-06-16,98,85.1,"EB"
"219",180,1998-11-11,186,106.2,"EB"
"220",180,2000-10-28,214,111.6,"EB"
"221",180,2003-11-10,247,114.5,"EB"
"222",182,1989-11-07,24,49,"EB"
"223",182,1990-11-13,44,61.2,"EB"
"224",182,1990-11-14,44,61.2,"EB"
"225",182,1991-11-21,65,72.8,"EB"
"226",182,1992-11-04,79.5,78,"EB"
"227",182,1993-07-05,80,78,"EB"
"228",182,1993-10-11,98,81.3,"EB"
"229",182,1998-11-11,182,104,"EB"
"230",182,1999-11-01,199,107.8,"EB"
"231",182,1999-11-21,198,108.4,"EB"
"232",182,2000-10-08,210,110.7,"EB"
"233",182,2000-10-28,221,111.5,"EB"
"234",182,2001-08-07,203,110.8,"EB"
"236",182,2001-11-14,233,112.6,"EB"
"237",182,2003-11-10,269,116.6,"EB"
"238",182,2004-07-04,231,116.9,"EB"
"239",182,2004-11-03,272,117.2,"EB"
"240",182,2005-11-17,287,120.7,"EB"
"241",182,2006-10-01,292,121.1,"EB"
"242",182,2009-11-07,310,122.4,"EB"
"243",182,2010-09-14,270,122,"EB"
"244",182,2011-07-08,245,122.1,"EB"
"245",183,1990-08-15,176,106,"EB"
"246",183,1998-10-18,282,116.4,"EB"
"247",183,2000-06-23,304,124.9,"EB"
"248",183,2000-12-09,349,128.1,"EB"
"249",183,2008-11-18,370,131.2,"EB"
"250",186,1990-09-03,348,136.2,"EB"
"251",186,1992-06-17,325,135.5,"EB"
"252",186,1992-07-14,338,136,"EB"
"253",186,1994-06-20,333,135.6,"EB"
"254",186,1994-09-30,342,135.2,"EB"
"255",186,2000-10-28,398,138.8,"EB"
"256",186,2001-06-25,367,137.7,"EB"
"258",186,2001-10-24,376,137.8,"EB"
"259",186,2003-09-30,405,137.9,"EB"
"265",187,2005-11-21,316,121.2,"EB"
"266",187,2007-11-19,266,120.9,"EB"
"267",187,2008-06-12,271.7,121.4,"EB"
"268",187,2009-11-07,292,121.4,"EB"
"269",188,1990-12-04,210,108.5,"EB"
"271",188,1992-10-17,237,112.8,"EB"
"272",188,1993-10-18,244,113.4,"EB"
"273",188,1998-10-22,308,121,"EB"
"274",188,2008-11-18,318,127.5,"EB"
"282",191,2004-11-03,288,122.5,"EB"
"283",191,2007-07-21,258,124.1,"EB"
"284",191,2010-10-08,290,125.3,"EB"
"285",191,2011-07-08,258,125.9,"EB"
"290",194,2004-07-20,282,127.1,"EB"
