"","ID","Date","Mass","Length","Loc"
"1613",801,2005-07-09,22.4,47.3,"EB"
"1630",802,2005-07-09,21.9,47.4,"EB"
"1632",805,2005-04-06,6,29,"Perth Zoo"
"1645",805,2005-07-09,19.4,46,"EB"
"1647",805,2005-11-23,52,66.4,"EB"
"1648",806,2005-04-06,6.6,28.9,"Perth Zoo"
"1661",806,2005-07-09,23.1,48,"EB"
"1663",806,2005-11-23,56,67.6,"EB"
"1664",808,2005-04-10,5,27.2,"Perth Zoo"
"1677",808,2005-07-09,19.9,44.1,"EB"
"1680",811,2005-04-11,5.8,28,"Perth Zoo"
"1692",811,2005-07-09,19.5,45.8,"EB"
"1694",811,2006-10-29,62,70.2,"EB"
"1695",865,2005-11-21,56,65.6,"EB"
"1696",865,2006-09-14,59.6,67.5,"EB"
"1697",865,2006-11-10,70,72.1,"EB"
"1698",866,2005-11-25,84.5,77.6,"EB"
"1700",874,2006-04-06,5.8,27.5,"Perth Zoo"
"1723",874,2006-09-14,31.4,52.1,"EB"
"1724",874,2006-10-28,36.6,58.4,"EB"
"1725",876,2006-04-06,6.1,28.8,"Perth Zoo"
"1748",876,2006-09-14,29.5,52.3,"EB"
"1749",876,2008-11-18,96.5,83.5,"EB"
"1750",876,2009-07-03,82.5,83.8,"EB"
"1751",876,2010-10-08,129.5,93.1,"EB"
"1752",881,2006-04-09,5.8,28.2,"Perth Zoo"
"1775",881,2006-09-14,31.6,52.4,"EB"
"1776",881,2006-10-28,38.2,57.6,"EB"
"1777",882,2006-04-09,5.3,27.9,"Perth Zoo"
"1800",882,2006-09-14,28.7,50.8,"EB"
"1801",882,2006-10-28,35.5,62.3,"EB"
"1802",882,2006-10-31,34.7,56.9,"EB"
"1803",886,2006-04-19,5.4,26.4,"Perth Zoo"
"1825",886,2006-09-14,27.1,50.7,"EB"
"1826",890,2006-04-20,3.9,24,"Perth Zoo"
"1846",890,2006-09-14,23.3,46.7,"EB"
"1847",890,2006-10-28,28,51.8,"EB"
"1848",896,2006-04-24,5.8,28.1,"Perth Zoo"
"1869",896,2006-09-14,32.9,53.1,"EB"
"1870",896,2006-10-28,37.5,58.3,"EB"
"1871",898,2006-04-24,6.1,29.1,"Perth Zoo"
"1892",898,2006-09-14,27.7,50,"EB"
"1893",898,2006-10-28,34,56,"EB"
"1895",904,2006-09-29,230,116,"EB"
"1897",905,2006-10-01,370,137,"EB"
"1898",905,2007-11-17,383,136.8,"EB"
"1899",905,2008-11-18,383,137.1,"EB"
"1900",905,2009-11-04,406,137,"EB"
"1901",906,2006-10-17,110,90.3,"EB"
"1902",907,2006-10-28,20.5,44.5,"EB"
"1903",907,2006-12-17,20.3,45.7,"EB"
"1904",908,2006-10-31,61.8,69.8,"EB"
"1906",908,2006-12-21,63.5,69.8,"EB"
"1907",909,2006-10-31,164.2,98.6,"EB"
"1908",909,2007-09-06,162,99.1,"EB"
"1909",909,2009-11-04,221,110.4,"EB"
"1910",910,2006-11-25,69.5,72.8,"EB"
"1911",911,2006-12-17,21.3,46.6,"EB"
"1912",911,2007-11-22,66,70.8,"EB"
"1913",912,2006-12-17,28,51.5,"EB"
"1914",914,2007-01-30,6,27.8,"Perth Zoo"
"1934",914,2007-06-13,33.2,53.5,"EB"
"1945",918,2007-03-30,5.8,28.4,"Perth Zoo"
"1957",918,2007-06-13,28.8,51.3,"EB"
"1968",919,2007-04-02,5.3,27,"Perth Zoo"
"1980",919,2007-06-13,27.5,50.7,"EB"
"1991",920,2007-04-03,6.2,28.3,"Perth Zoo"
"2002",920,2007-06-13,31,52.1,"EB"
"2013",941,2007-11-19,96,83.5,"EB"
"2014",941,2008-03-08,6,28.7,"Perth Zoo"
"2029",941,2008-06-12,94,83.9,"EB"
"2066",941,2010-06-17,108.9,85.4,"Perth Zoo"
"2073",941,2011-05-28,106.1,85.5,"Perth Zoo"
"2077",1017,2010-09-23,75.5,71.9,"EB"
"2078",1018,2010-10-08,18.2,43.7,"EB"
"2079",1019,2010-10-08,18.6,42.5,"EB"
"2080",1020,2010-10-08,105.5,85.1,"EB"
"2081",1021,2010-10-08,189,104.9,"EB"
"2082",1022,2010-10-19,44.2,62,"EB"
